no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,total_assets_value
5,0,1,15.64005985001532,16.97675726999584,10,331,17.93129040090644
3,0,1,15.250595083253597,16.08763644347361,16,841,17.213369038360916
4,0,1,16.012735135300492,16.711422496236054,12,764,17.717483227538917
0,1,0,14.808762330974558,16.176364559082295,6,591,16.569171270318538
1,1,1,16.08763644347361,17.396247853458508,2,719,17.884537312202085
2,1,0,15.009433026436708,15.732433170146335,14,317,16.759949537130716
0,0,0,12.611537753638338,13.9108207377686,8,778,14.508657738524219
3,1,1,15.816990558174398,16.716932152047026,14,302,17.26866767855714
5,0,0,15.775605342011543,16.796129193708218,8,502,17.686711568872166
5,0,1,15.80338490611862,16.911088166487982,18,879,17.896432099854234
1,0,0,15.943742263813542,16.96824658032793,14,437,17.95387200560315
0,0,1,15.009433026436708,16.195056692094447,12,797,16.68340946000838
4,0,1,15.573368475516649,16.95966283663654,18,456,17.7355017330416
0,0,0,13.304684934198283,14.28551418721001,6,647,15.27412558066379
0,0,0,15.789591583986283,16.575520497997196,12,379,17.72753356339242
1,0,1,16.02378497148708,17.3089832157356,2,717,17.33300839532259
5,1,0,13.710150042306449,14.648419680899378,16,545,15.150511624696614
2,1,0,13.592367006650065,14.978661367769956,8,317,15.250595083253597
1,0,0,15.955576721460545,17.3089832157356,10,570,17.434503884614045
0,0,1,16.012735135300492,16.744034081824815,18,865,17.893048001869992
3,1,0,15.761420707019587,16.785925023533974,14,719,17.74537348152075
3,1,0,12.206072645530174,13.304684934198283,16,821,13.9108207377686
4,0,1,12.89921982609012,13.592367006650065,10,859,14.690979295318174
3,0,0,15.444751097694555,16.716932152047026,10,395,17.213369038360916
2,0,1,13.458835614025542,14.77102200299171,12,429,15.671808548329901
3,1,0,12.89921982609012,13.997832114758229,12,861,14.557447902693651
0,0,1,16.06680235657077,16.850463544671545,14,565,18.123621509687986
5,1,0,15.990262279448435,16.933460464242515,10,357,17.49433967622471
3,0,1,14.403297222866392,15.096444403426338,18,465,16.02378497148708
4,0,1,15.732433170146335,16.44739939810092,8,479,17.842646370492925
3,0,0,14.22097566607244,15.520258650202699,16,717,15.967272761223736
3,1,0,14.28551418721001,15.520258650202699,12,425,15.856730886823913
2,0,0,15.341566861459324,16.630919277386983,2,786,17.077445872292923
5,0,1,14.603967918328545,15.717618084361195,6,382,16.549878067383858
3,0,1,14.880221294956703,15.955576721460545,12,564,16.41076526492114
0,1,0,12.206072645530174,13.458835614025542,8,501,14.22097566607244
2,0,1,14.73180128983843,16.056220247240233,10,727,16.972510979114386
4,0,0,15.096444403426338,15.830413578506539,6,894,16.694709015262312
0,1,1,15.520258650202699,16.630919277386983,18,829,17.054189010128656
4,0,0,15.702580206996654,16.671980764184756,20,506,17.637608855864432
2,1,1,15.967272761223736,17.284366588100244,6,802,17.916499662905043
5,0,0,13.304684934198283,14.22097566607244,14,543,15.096444403426338
3,1,1,14.151982794585487,14.978661367769956,20,772,16.11809565095832
3,1,0,15.201804919084164,16.222455666282563,12,572,17.022313801598205
0,0,1,15.404745763080856,16.292048958081757,16,709,17.447819660589815
5,1,0,14.508657738524219,15.64005985001532,18,402,16.48273876454623
1,0,1,15.464169183551656,16.775615653875114,8,481,17.661393760887876
5,1,1,16.00156183470237,17.175885945106174,6,772,17.684626062381145
1,1,1,15.687312734865866,16.84080163375981,2,306,17.481633024955595
2,0,0,14.077874822431765,15.319587954740548,6,415,15.424948470398375
3,0,0,16.056220247240233,17.37085861945369,16,548,17.96655046386292
5,0,0,15.424948470398375,16.231424336265324,8,701,17.15483253590834
2,1,0,14.914122846632385,15.856730886823913,12,890,16.785925023533974
5,0,1,16.108045315104818,17.32106795495067,6,364,17.911520399505434
5,1,1,13.458835614025542,14.077874822431765,20,704,15.29711509888849
3,1,1,15.201804919084164,16.176364559082295,10,318,16.785925023533974
5,0,0,14.946912669455374,16.077273656438063,2,761,16.915602846842507
4,0,0,15.319587954740548,16.530205301785152,6,693,17.182806387950748
3,0,0,16.08763644347361,16.84080163375981,16,524,18.04671430290357
2,0,1,14.508657738524219,15.483217378522351,10,681,16.41820024340866
2,1,1,15.907374619642667,16.920097236430347,18,737,18.052511420587898
0,0,0,15.555976732804778,16.58182966719046,16,638,17.22995316637645
4,0,0,15.573368475516649,16.364955728889846,2,656,17.005986908310778
1,1,0,14.403297222866392,15.687312734865866,6,540,16.283610089435893
4,0,1,16.02378497148708,17.376556640568324,6,341,17.299822846336937
0,0,1,15.38412647587812,16.67771143889374,2,371,17.521738650412825
3,0,1,15.150511624696614,16.166885815127753,12,886,16.892822818510687
0,0,0,14.457364444136669,15.226497531674536,18,801,15.789591583986283
3,0,1,15.096444403426338,16.06680235657077,16,748,16.924571516825267
2,0,1,15.816990558174398,17.15483253590834,8,376,17.717483227538917
4,0,1,15.702580206996654,16.475770095230136,8,371,17.64849035605197
2,1,0,14.403297222866392,15.483217378522351,6,826,16.38045991542581
4,0,0,16.034714042019267,17.118727531266227,12,873,17.757092365633966
5,0,1,14.690979295318174,15.967272761223736,8,309,16.077273656438063
4,0,0,15.538277155705378,16.40327459319198,20,869,17.434503884614045
5,1,0,15.150511624696614,16.44739939810092,12,534,16.73867213868343
3,0,1,15.319587954740548,16.70031127081098,6,787,17.278116567755074
0,1,1,13.710150042306449,14.603967918328545,16,566,15.03928598958639
0,0,0,14.845129975145433,16.108045315104818,8,742,16.496532086678563
2,0,0,15.830413578506539,16.955343175492022,4,824,17.889652412868855
4,1,0,14.151982794585487,14.946912669455374,14,575,16.249123913364723
2,1,1,15.150511624696614,16.204273347199372,10,766,16.671980764184756
1,0,1,14.346138809026444,15.424948470398375,10,888,16.12804598181149
3,1,1,16.012735135300492,17.22995316637645,6,638,17.972829919347763
5,0,1,15.80338490611862,16.963963918535928,6,622,17.83369375922081
1,0,0,15.816990558174398,16.801192495664765,18,458,17.73748389424559
1,0,0,16.012735135300492,17.15483253590834,16,327,17.48418730476069
0,0,0,14.914122846632385,15.687312734865866,2,612,16.84080163375981
1,1,0,13.592367006650065,14.880221294956703,8,682,15.747031969567487
2,1,0,15.38412647587812,16.3957273875566,2,583,17.347736202032834
5,0,0,15.671808548329901,16.722411617811648,8,697,17.49686174565742
3,1,0,16.034714042019267,17.11504428584993,12,306,17.82102390647976
4,0,1,12.89921982609012,14.22097566607244,2,669,14.457364444136669
2,0,0,14.845129975145433,15.60727002719233,18,816,16.90199719478673
4,0,1,15.955576721460545,17.17935215308266,20,455,17.783913896828526
3,1,1,15.363073066680286,16.612791892794426,10,318,17.50439001207821
4,0,1,16.0978929436408,16.869511739642242,20,355,18.160613838533557
2,0,1,15.150511624696614,16.00156183470237,16,389,16.821193162371433
2,1,0,13.122363377404328,14.22097566607244,2,888,15.176487111099874
2,1,1,15.747031969567487,16.562781472219765,6,352,17.74537348152075
4,0,1,16.077273656438063,17.220035729719104,12,870,17.74340691254871
3,0,0,14.880221294956703,15.687312734865866,18,827,16.929025867174648
2,1,0,16.0978929436408,16.855259716935038,12,768,17.999086253914317
0,1,0,15.775605342011543,16.549878067383858,18,707,17.654962870557586
1,0,1,15.856730886823913,16.76519889301686,10,355,17.615484059583796
3,1,0,14.151982794585487,15.009433026436708,2,652,15.84365880525656
3,1,0,15.86963429165982,16.58182966719046,2,665,17.684626062381145
5,0,1,14.346138809026444,15.60727002719233,18,420,15.907374619642667
2,0,0,15.955576721460545,17.302885635867483,18,471,18.040883382592778
5,0,0,14.457364444136669,15.830413578506539,20,715,16.660419941783683
2,0,1,15.717618084361195,16.536805985816503,10,689,17.216707939626428
3,1,1,15.747031969567487,16.612791892794426,4,787,17.674132786665304
2,1,0,14.77102200299171,15.86963429165982,4,819,16.496532086678563
4,1,1,16.077273656438063,16.864783598446294,6,809,18.049617062561534
1,0,1,15.732433170146335,16.64872390202049,2,744,17.657111099095875
0,0,0,14.978661367769956,16.240313283682568,6,484,16.791040124200745
4,0,0,14.880221294956703,16.1573163641116,6,673,16.76519889301686
3,1,1,15.88237331743725,16.869511739642242,18,695,17.74929505517393
4,0,1,15.176487111099874,16.333207030575267,12,473,17.14771506813948
4,1,1,15.341566861459324,16.213405830762646,2,491,17.299822846336937
3,0,1,13.458835614025542,14.346138809026444,8,733,15.404745763080856
0,0,0,15.464169183551656,16.562781472219765,20,434,17.588271496058912
3,0,1,15.590462908875947,16.84080163375981,10,777,17.344807942253745
4,1,0,15.789591583986283,16.76519889301686,4,774,17.450461670052654
1,0,1,15.978833583624812,17.111347423968603,10,717,17.921454256029726
3,0,1,13.9108207377686,15.068273526459642,12,503,15.732433170146335
1,1,1,15.201804919084164,16.204273347199372,14,598,17.15483253590834
2,1,0,16.0978929436408,17.293668980762558,2,543,18.134331116734362
0,0,1,14.808762330974558,15.732433170146335,20,796,16.440179150127435
3,0,1,15.990262279448435,17.359364240027954,8,386,17.835490704897513
5,0,1,15.009433026436708,15.86963429165982,16,632,16.860032995687696
1,1,1,15.747031969567487,16.96824658032793,4,481,17.793321303930423
3,1,1,13.710150042306449,15.068273526459642,4,770,15.009433026436708
3,1,1,15.226497531674536,16.556350581889475,6,667,16.955343175492022
3,0,1,15.363073066680286,16.67771143889374,8,585,16.749367427800177
5,1,1,15.03928598958639,16.266515656076592,16,479,17.16541464523888
2,1,0,16.077273656438063,16.929025867174648,18,851,17.919805451039544
3,0,1,15.761420707019587,16.600521800202614,6,378,17.882826447798454
5,1,0,15.555976732804778,16.3727378693319,18,807,17.18624873214172
1,0,1,15.919644712234481,17.293668980762558,18,831,17.919805451039544
2,0,0,14.557447902693651,15.444751097694555,12,674,16.46875252257149
1,0,1,15.89495209964411,17.151280134303974,18,725,17.62660764480246
2,0,0,15.89495209964411,17.193098073987297,4,600,17.999086253914317
0,0,1,16.056220247240233,17.111347423968603,10,536,17.615484059583796
0,1,0,15.943742263813542,16.84080163375981,10,477,17.50188688186009
1,0,1,14.457364444136669,15.424948470398375,6,560,16.176364559082295
0,0,1,15.250595083253597,16.612791892794426,20,539,17.077445872292923
5,1,0,14.77102200299171,16.02378497148708,8,852,16.70588231586044
3,0,0,15.123843377614453,15.955576721460545,20,853,17.088874568116545
0,1,0,15.990262279448435,17.246266741867974,12,729,17.49181122987135
2,0,0,14.557447902693651,15.363073066680286,2,546,16.612791892794426
3,1,1,13.710150042306449,14.690979295318174,10,489,15.226497531674536
3,1,1,16.0978929436408,17.382222378104004,6,869,17.972829919347763
2,0,0,15.89495209964411,16.811242831518264,2,502,17.682536197461683
0,1,0,16.0978929436408,17.4739308045935,8,652,18.163204513557652
0,0,1,12.611537753638338,13.9108207377686,8,789,14.346138809026444
4,0,0,14.808762330974558,15.907374619642667,4,325,16.76519889301686
3,1,1,15.816990558174398,16.791040124200745,2,716,17.65065251905646
3,1,0,16.034714042019267,17.35065591213617,18,523,18.02763815584276
5,0,0,16.06680235657077,16.915602846842507,20,352,17.94747198375768
5,1,1,15.150511624696614,16.48273876454623,2,345,16.897420527759316
0,1,0,15.931766072766827,16.780783624033557,18,649,17.808191466409873
2,1,1,14.845129975145433,15.816990558174398,18,666,16.308716010566968
0,1,0,15.967272761223736,16.855259716935038,10,813,17.80449460452855
0,0,0,15.501909511534503,16.636889444373487,10,599,17.365127944744703
5,1,1,15.250595083253597,16.056220247240233,6,678,17.065885049891847
5,0,0,15.464169183551656,16.316946509703484,20,513,17.442514608360124
5,1,0,16.056220247240233,17.144137246791594,4,870,17.533948814319753
3,1,0,15.990262279448435,16.831045458814444,8,483,17.815544440715133
1,1,1,15.590462908875947,16.630919277386983,16,308,17.47907220409392
3,1,1,14.346138809026444,15.404745763080856,16,591,16.249123913364723
1,0,0,15.761420707019587,16.951004773893423,10,886,17.686711568872166
4,0,0,14.346138809026444,15.201804919084164,6,829,15.955576721460545
0,0,0,14.22097566607244,15.404745763080856,12,651,16.0978929436408
4,0,0,14.508657738524219,15.363073066680286,18,733,16.660419941783683
5,1,1,15.176487111099874,16.556350581889475,12,433,17.126053571358298
1,1,1,13.710150042306449,15.096444403426338,14,713,15.483217378522351
1,1,0,15.747031969567487,16.929025867174648,18,403,17.293668980762558
0,1,1,14.845129975145433,15.86963429165982,10,405,16.850463544671545
3,1,1,15.732433170146335,16.80623028969472,10,516,17.84975119611667
4,0,1,13.304684934198283,14.403297222866392,8,417,15.424948470398375
1,0,0,15.363073066680286,16.454567887579532,6,468,17.158372362613466
5,1,1,14.914122846632385,16.283610089435893,10,672,17.081269968731327
5,0,0,15.201804919084164,16.44739939810092,6,530,17.220035729719104
1,0,1,14.946912669455374,16.240313283682568,14,824,17.038378404102012
1,0,1,15.856730886823913,17.054189010128656,12,549,17.84442731486392
5,0,1,15.27412558066379,16.045524958123483,10,450,16.946647468524468
1,1,1,15.573368475516649,16.785925023533974,20,431,17.445170652418238
3,1,1,15.096444403426338,16.185754299432134,16,312,16.915602846842507
0,0,1,14.880221294956703,15.84365880525656,8,320,17.085079497147994
0,1,0,15.990262279448435,16.821193162371433,4,433,17.96023132751144
1,0,1,12.611537753638338,13.815510557964274,10,431,14.457364444136669
5,0,1,15.967272761223736,17.17935215308266,8,516,17.701189588052817
2,0,1,15.068273526459642,16.300417207752275,14,476,16.95966283663654
5,1,0,13.592367006650065,14.77102200299171,6,560,15.27412558066379
2,1,0,15.89495209964411,17.11504428584993,12,674,17.654962870557586
0,0,1,16.108045315104818,17.458346073576802,6,573,17.78956895431187
2,0,0,15.009433026436708,15.702580206996654,6,331,16.80623028969472
4,1,1,14.508657738524219,15.717618084361195,12,633,15.856730886823913
3,0,0,15.404745763080856,16.3727378693319,18,877,17.216707939626428
5,0,1,16.034714042019267,16.97675726999584,12,656,17.802641035879226
0,0,0,15.830413578506539,16.716932152047026,6,782,17.58366319297272
5,0,0,16.012735135300492,17.193098073987297,4,531,17.929657747482555
3,0,0,14.151982794585487,15.226497531674536,8,455,16.056220247240233
3,1,0,16.077273656438063,16.80623028969472,14,452,17.831893578716663
2,1,0,15.943742263813542,17.318060433886718,14,474,18.085208007664235
3,0,0,15.671808548329901,17.01009369026343,4,483,17.335971360453247
4,1,0,15.590462908875947,16.636889444373487,8,481,17.531518679466462
2,1,1,14.603967918328545,15.444751097694555,20,859,16.489659207390805
4,1,1,15.538277155705378,16.461685355348397,14,696,17.541203985200926
4,0,0,16.0978929436408,17.17240768072985,6,778,17.986816161322505
4,1,0,15.29711509888849,16.496532086678563,4,499,17.20328491929429
2,0,1,14.690979295318174,15.404745763080856,4,888,16.77042083699801
1,1,0,15.29711509888849,16.195056692094447,12,674,17.365127944744703
4,1,0,15.123843377614453,16.3957273875566,4,802,17.182806387950748
4,0,1,14.648419680899378,15.86963429165982,8,540,16.333207030575267
4,1,1,15.590462908875947,16.791040124200745,8,726,17.772506929035153
4,0,1,15.671808548329901,16.972510979114386,2,485,17.43985149094064
4,1,1,15.404745763080856,16.654589021472887,6,612,17.305939073354374
3,0,1,16.06680235657077,17.001863191126915,8,879,17.899804784332872
2,0,0,15.555976732804778,16.612791892794426,12,708,16.98938901690174
2,0,1,14.808762330974558,15.555976732804778,8,850,16.946647468524468
2,0,1,15.176487111099874,16.240313283682568,12,516,16.711422496236054
0,0,0,15.86963429165982,17.175885945106174,12,465,17.69501037168686
0,1,0,13.9108207377686,14.978661367769956,20,716,15.931766072766827
4,0,0,12.206072645530174,13.304684934198283,10,404,13.122363377404328
0,0,1,15.363073066680286,16.176364559082295,20,512,17.27182723884751
3,0,1,15.919644712234481,16.84080163375981,10,441,17.95387200560315
2,0,1,15.341566861459324,16.727861222579214,2,555,17.16541464523888
5,0,0,14.403297222866392,15.761420707019587,18,466,16.349207371921707
3,1,1,14.978661367769956,15.967272761223736,2,427,16.67771143889374
4,0,1,15.520258650202699,16.811242831518264,14,593,17.5673648112396
3,1,0,15.88237331743725,16.722411617811648,10,731,17.458346073576802
1,1,1,15.201804919084164,16.12804598181149,16,451,17.18624873214172
3,0,1,15.732433170146335,16.642824179893303,18,628,17.034386382832476
1,0,0,14.808762330974558,16.056220247240233,18,704,16.612791892794426
2,0,0,15.732433170146335,16.972510979114386,12,341,17.802641035879226
5,1,0,15.967272761223736,16.860032995687696,8,465,17.840862248699423
4,1,0,15.89495209964411,17.220035729719104,4,431,17.840862248699423
1,1,1,15.123843377614453,16.349207371921707,10,424,17.038378404102012
0,1,0,14.77102200299171,15.444751097694555,14,678,16.195056692094447
4,1,0,15.250595083253597,16.636889444373487,6,381,17.344807942253745
5,1,1,15.89495209964411,17.14771506813948,10,449,17.53637305793126
1,0,0,15.775605342011543,16.972510979114386,12,768,17.690869579020827
0,0,0,14.508657738524219,15.761420707019587,6,666,15.747031969567487
4,0,1,15.573368475516649,16.40327459319198,14,742,17.701189588052817
3,0,1,15.717618084361195,16.575520497997196,4,445,17.53637305793126
2,1,0,15.80338490611862,17.17240768072985,14,634,17.54601168676903
4,0,0,15.009433026436708,16.08763644347361,14,782,16.530205301785152
0,1,0,14.914122846632385,15.761420707019587,10,781,16.915602846842507
4,0,0,15.88237331743725,16.660419941783683,14,318,17.83907493812533
5,0,0,15.84365880525656,16.997722398460883,18,721,17.96655046386292
5,0,0,15.123843377614453,16.0978929436408,4,563,17.175885945106174
2,0,0,15.943742263813542,17.085079497147994,4,419,18.008191020907237
0,1,1,15.919644712234481,16.850463544671545,14,372,17.376556640568324
0,0,0,14.880221294956703,16.06680235657077,18,885,16.62491325332677
1,0,1,16.108045315104818,17.463568017557954,12,596,17.952275836070328
0,1,0,15.29711509888849,16.461685355348397,2,349,16.791040124200745
1,0,1,16.012735135300492,17.287477010514635,16,468,17.916499662905043
3,0,1,15.732433170146335,17.107636844572067,16,818,17.887950284798325
2,0,0,15.978833583624812,17.14771506813948,12,543,17.776323727561852
3,1,0,16.056220247240233,16.90199719478673,16,685,17.78956895431187
3,0,1,15.60727002719233,16.34123920227253,18,851,17.538791438795542
1,0,1,16.056220247240233,17.210018951475632,10,377,18.260511991799543
0,0,1,13.815510557964274,15.201804919084164,10,620,15.955576721460545
3,1,1,13.710150042306449,14.648419680899378,20,611,15.319587954740548
4,0,0,14.557447902693651,15.856730886823913,4,767,16.222455666282563
5,1,1,13.9108207377686,14.978661367769956,20,592,15.88237331743725
0,1,1,13.304684934198283,14.648419680899378,4,319,15.501909511534503
4,0,1,16.034714042019267,17.054189010128656,10,900,17.911520399505434
2,0,1,15.096444403426338,16.364955728889846,18,814,17.11504428584993
5,0,1,14.077874822431765,15.424948470398375,10,755,16.213405830762646
5,1,1,15.856730886823913,16.636889444373487,20,584,17.617718697385214
4,1,1,16.06680235657077,16.972510979114386,14,380,17.942644943009366
2,0,1,15.424948470398375,16.68340946000838,20,465,17.31504384034729
0,0,0,13.122363377404328,14.403297222866392,2,531,15.29711509888849
1,1,1,15.931766072766827,17.284366588100244,16,814,17.86903312566612
0,1,0,15.483217378522351,16.70031127081098,6,678,17.096421773751928
2,0,1,16.045524958123483,17.182806387950748,12,655,17.717483227538917
3,0,0,14.648419680899378,15.816990558174398,2,682,16.73867213868343
1,0,0,12.89921982609012,14.077874822431765,6,695,14.28551418721001
3,0,0,14.978661367769956,16.195056692094447,4,833,16.51687177091569
5,0,1,16.056220247240233,17.379393521903527,16,302,18.012712505626084
1,1,0,14.648419680899378,15.702580206996654,2,357,16.475770095230136
5,0,0,15.27412558066379,16.489659207390805,12,302,17.353567122343627
0,1,1,15.64005985001532,16.924571516825267,18,873,17.65065251905646
0,0,1,15.789591583986283,16.801192495664765,12,658,17.787687486212167
5,1,1,14.690979295318174,15.978833583624812,18,877,16.44739939810092
3,0,0,14.880221294956703,15.65606019136176,8,648,16.575520497997196
1,1,0,14.151982794585487,15.464169183551656,12,730,15.80338490611862
4,0,1,14.603967918328545,15.919644712234481,14,737,16.716932152047026
2,1,1,13.592367006650065,14.978661367769956,10,584,14.914122846632385
0,1,0,13.304684934198283,14.346138809026444,2,621,14.914122846632385
4,1,1,13.458835614025542,14.808762330974558,16,583,15.201804919084164
2,0,0,15.943742263813542,17.069753526669768,16,621,17.90484257836283
2,0,0,15.775605342011543,16.883563493097892,16,610,17.538791438795542
4,1,0,15.501909511534503,16.569171270318538,18,452,17.48927637426816
5,1,0,15.123843377614453,15.80338490611862,18,339,17.168917275790083
3,1,1,15.464169183551656,16.536805985816503,16,650,17.01825700090259
4,0,1,12.206072645530174,13.458835614025542,10,672,13.815510557964274
3,1,0,13.122363377404328,13.815510557964274,20,501,14.808762330974558
2,0,1,14.403297222866392,15.555976732804778,4,809,16.283610089435893
5,1,1,16.034714042019267,17.19650523230891,8,318,17.96023132751144
4,0,0,13.710150042306449,15.009433026436708,10,649,15.03928598958639
3,0,0,15.830413578506539,17.158372362613466,12,367,17.73152558466196
